adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1171058000,송파1동,송파구,23454.0,0.6863942875332752,34169.9
1171059000,송파2동,송파구,18542.0,0.6305341061127019,29406.8
1171060000,석촌동,송파구,30906.0,0.9461838644911768,32663.8
1171061000,삼전동,송파구,29127.0,0.9526045579730544,30576.2
1171062000,가락본동,송파구,25264.0,1.013951700739706,24916.4
1171063100,가락1동,송파구,27499.0,1.3921513534126655,19752.9
1171063200,가락2동,송파구,31239.0,0.931587044368838,33533.1
1171064100,문정1동,송파구,19567.0,0.6120707633653334,31968.5
1171064200,문정2동,송파구,28777.0,2.2402956718497262,12845.2
1171064600,장지동,송파구,28557.0,1.2773615867772892,22356.2
1171064700,위례동,송파구,44841.0,2.638595390634531,16994.3
1171065000,잠실본동,송파구,27772.0,1.0282069422082494,27010.1
1171067000,잠실2동,송파구,34894.0,2.6847896526663333,12996.9
1171068000,잠실3동,송파구,33882.0,1.5414551222003858,21980.5
1171069000,잠실4동,송파구,21232.0,0.7796006120656016,27234.5
1171071000,잠실6동,송파구,16466.0,1.506838686882518,10927.5
1171072000,잠실7동,송파구,9438.0,0.7229321808955346,13055.2
1174051500,강일동,강동구,32605.0,2.270383713701276,14361.0
1174052000,상일동,강동구,,,
1174053000,명일제1동,강동구,25310.0,0.6344469055102789,39893.0
1174054000,명일제2동,강동구,17184.0,0.913614193879314,18808.8
1174055000,고덕제1동,강동구,23979.0,1.515809923915974,15819.3
1174056000,고덕제2동,강동구,22801.0,2.474874752184202,9213.0
1174057000,암사제1동,강동구,33804.0,0.7349075996438003,45997.6
